rating,review_text,title,helpful_votes
1,Bud can be Full charge  but not long time back Up 1 and haff hours  work and then discharge battary and buds ......,Production deffeg:,0
1,i never use in future this brand,sound is not clear very bad experience,0
1,Left side not working Airbert,Not working,0
1,Connecting device. not propar work noise cancellation.,Don't buy,0
1,Not Working,Very Sad,0
1,"Don't buy this Crossbeats, I brought Crossbeats slide for 1299 in offer and when I received it the sound quality is worst than 800rs Earbuds and after 2 days left earbuds is not working.Please improve your quality and enter the market clean.",Worst and fake Product,0
1,Noise cancellation function is not effective. And calling function is poor quality this is the JBL air buds quality 😡😡😡😡😡,I am not satisfied,0
1,BED PRODUCT AND BED AMAZON SERVICEI AM NEVER SHOPING AMAZON,Ekdam Gatiya Product,0
1,Bad ear fit looks like cheap JBL product can not wear more than 10 minutes even tried all rubber option still not fittingpaining and keeps falling from ears,Very bad EAR FIT,0
1,Sound quality is very bad 😞,Sound quality is not good,0
1,"Used item, law sound",Very bad,0
1,For 3000 r/s  we can purchase super sound quality of ear buds other than jbl,Not worth for money,0
1,"The worst call quality from JBL and the right piece stopped working in 15days .. Not even eligible for a return now.Genuine feedback guys, stay out of this !!!","Genuine feedback guys, stay out of this !!!",0
1,,Coustomer care,0
1,The earbuds are deceptively marketed and mentioned as ANC buds. It can be safely stated that they do not have any Active Noise Cancellation. If you are looking for buds having active noise cancellation please avoid these buds. You can find better buds than these in a lower price.,Deceptive Marketing,0
1,Plz don’t parchase jbl earbuds quality is very badAnd don’t sapport amazone,Wrost product jbl,0
1,With in 2 months it’s not even two months now battery is backup is gone down 80%.it is frustrating and total waste of money.,Battery is very BAD,0
1,Please dont buy this earphones for gaming purpose. An earphone that too JBL worth 3k+ thats not expected too much audio delay while playing BGMI. Really disappointed with JBL other brands in the same price range is giving perfect audio for gaming tooo,Latency in BGMI,0
1,Worth the money spent so far.,Worth the money spent.,0
1,I request to all no one please buy any ptron product because you can't get any service.....also product quantity also very poor,Worst product waste of money,0
1,"I regret buying these earbuds. Even boat and realme lower segment earbuds are better than these. Don’t waste your money buying these earbuds. Sound is very low, battery backup is poor, design is too heavy",Very cheap earbuds from JBL,0
1,"Very Low Sound Performance,",Very Bad Itam,0
1,sound is decent but battery dies pretty quick using them for month backup reduce drastically,NOT GOOD AT ALL,0
1,product is very poor and it is a waste of money to buy this.,Prem,0
1,Battery life very poor and mic quality also very poor 😢 loss of money,Bad product,0
1,Do not buy this product . It has manufacturing defect . And they don’t take return . And Amazon just takes its commission and keep silent and doesn’t support here.,One of the ear bud doesn’t charge.,0
1,"Quality is so bad , mic is not working from first day",Fraud,0
1,Volume  has not good  compare to other brands,Volume  issue,0
1,No bass boosted,Worst product,0
1,"This product in not stall working . Tried my level best contacted their customer service but their lip service did not work. I am fed up with this product. Please take it back ‘ replace with simple ear buds. If you don’t take back, I have to throw them into dust bin. It is an utterly useless product.",It is a useless product. There is no Customerservice/ help,0
1,Received only charging caseEarbuds missing from packetHighly dissatisfied with service,Missing parts,0
1,"Battery life is hardly for an hour... Worst experience with JBL.. First with pulse 3 now this.. Bought oneplus bullet z2 and that's cheaper, durable in every aspect better than jbl.. Won't recommend to anyone..",Battery issues from beginning,0
1,"The media could not be loaded.
                



I purchased this product in the month of August and within 2 month its right side bud stop working completely... Connectivity is too late.",Right bud is not working,0
1,This earbuds won't connect properly  and there will be a sound in the  earbuds  like that was very annoying while playing music it will disconnect it self without any control from your money or the earbuds  Rather than buying this brand product buy Boat products it will worth it,Such a cheap product,0
1,Kam nahi kar raha hai,Bat sahi se nahi ho rahi,0
1,I am fan of JBL also Amazon is the most buying platform for me. After receiving this product I have immediately raised for return concern as I get fit issues in my ear. But unfortunately I was told that return is not possible. Now it is showing return & replacement policies over. It is now no use for me.,Not satisfied,0
1,Poor quality product. Don't buy it.Customer service is not good they didn't reply fast.,Poor quality,0
1,I use this product 2 day’s but there is i found noise cancelling is not good always you face outdoor sound problem. So I suggest you don’t purchase this product.Amazon never return this product they asked me to we are never replaced this product they cannot help.,Don’t purchase,0
1,Amazon replacement service very very worst,Left Ear bud not working,0
1,Very bed product after 3 month left side earbuds automatically switch off or not work when open after 5 seconds switched off,pt.arvinddabral@gmail.com,0
1,Big ear buds but no grpa so bad,Big ear buds,0
1,"In just a week earbuds is not taking charging, this is very disappointing from JBL brand",Ear bud snot charging,0
1,"Pathetic quality, expensive for free as well. Disappointed.Don't buy.",Sound quality,0
1,Sound quality and volume very low may be this product already defective.Never ever buy this product in Amazon and any productZero support from Amazon side,Worst product JBL 245 NC and Amazon service 👎,0
1,Poor product,Does not power on,0
1,Hi I have one plus ear buds and compared to it i see this product is very low in performance.. not adviced for music lovers bass effect is not good in this product.Really disappointed,Bass effect is not as expected do not recommended for music lovers,0
1,Don’t buy this product. This stopped working in just 6days. Worst purchase,Worst buy.,0
